Order ID,Customer ID,Product Category,Product Name,Order Date,Ship Date,Sales,Quantity,Discount,Profit,Region
ORD100000,CUST1102,Clothing,Jacket,2024-02-21,2024-02-23,69.78,1,0.05,15.12,South
ORD100001,CUST1435,Electronics,Phone,2024-07-08,2024-07-13,784.55,5,0.0,341.31,West
ORD100002,CUST1348,Electronics,Headphones,2024-11-16,2024-11-18,1020.48,4,0.1,311.27,Central
ORD100003,CUST1270,Electronics,Phone,2024-09-27,2024-09-29,44.48,4,0.15,6.17,North
ORD100004,CUST1106,Home & Kitchen,Vacuum,2024-09-11,2024-09-16,140.34,6,0.0,48.9,West
ORD100005,CUST1071,Books,Comics,2024-09-13,2024-09-16,117.5,2,0.15,41.89,Central
ORD100006,CUST1188,Home & Kitchen,Cookware Set,2024-05-11,2024-05-14,515.0,5,0.0,280.19,East
ORD100007,CUST1020,Electronics,Camera,2024-04-17,2024-04-20,1598.68,2,0.05,178.88,East
ORD100008,CUST1102,Books,Comics,2024-10-22,2024-10-28,102.3,2,0.1,60.01,South
ORD100009,CUST1121,Home & Kitchen,Cookware Set,2024-10-22,2024-10-28,447.72,2,0.1,179.06,Central
ORD100010,CUST1466,Clothing,T-Shirt,2024-11-12,2024-11-15,27.21,1,0.3,8.03,East
ORD100011,CUST1214,Home & Kitchen,Blender,2024-11-29,2024-12-04,586.84,2,0.0,206.33,East
ORD100012,CUST1330,Clothing,Jeans,2024-07-05,2024-07-07,460.2,5,0.1,79.94,South
ORD100013,CUST1458,Clothing,Jeans,2024-07-02,2024-07-06,333.09,3,0.1,88.91,West
ORD100014,CUST1087,Beauty,Makeup Set,2024-10-18,2024-10-21,187.04,2,0.2,30.31,East
ORD100015,CUST1372,Clothing,T-Shirt,2024-08-25,2024-08-27,292.86,2,0.0,174.35,North
ORD100016,CUST1099,Clothing,Jeans,2024-09-13,2024-09-17,176.34,2,0.15,45.9,North
ORD100017,CUST1359,Beauty,Perfume,2024-10-17,2024-10-18,132.87,3,0.05,58.35,West
ORD100018,CUST1151,Books,Textbook,2024-11-20,2024-11-23,122.01,3,0.0,67.14,Central
ORD100019,CUST1130,Electronics,Phone,2024-05-03,2024-05-04,91.44,1,0.05,34.6,South
ORD100020,CUST1149,Electronics,Camera,2024-05-17,2024-05-20,3233.7,3,0.0,791.19,North
ORD100021,CUST1308,Electronics,Laptop,2024-02-04,2024-02-07,304.12,2,0.05,75.73,North
ORD100022,CUST1257,Home & Kitchen,Blender,2024-07-30,2024-07-31,409.53,3,0.2,33.66,West
ORD100023,CUST1343,Clothing,Sneakers,2024-01-14,2024-01-16,369.84,3,0.05,140.6,Central
ORD100024,CUST1491,Electronics,Phone,2024-06-18,2024-06-22,720.8,1,0.1,219.98,Central
ORD100025,CUST1413,Beauty,Perfume,2024-07-17,2024-07-19,150.81,3,0.05,56.27,West
ORD100026,CUST1293,Home & Kitchen,Lamp,2024-04-14,2024-04-19,193.59,1,0.0,94.79,North
ORD100027,CUST1385,Electronics,Phone,2024-08-03,2024-08-03,4107.64,4,0.0,773.39,South
ORD100028,CUST1191,Home & Kitchen,Blender,2024-01-12,2024-01-15,706.4,5,0.05,201.61,North
ORD100029,CUST1443,Home & Kitchen,Vacuum,2024-01-14,2024-01-16,1744.5,5,0.0,863.49,Central
ORD100030,CUST1276,Electronics,Camera,2024-10-27,2024-10-27,459.52,4,0.0,74.12,North
ORD100031,CUST1160,Clothing,Sneakers,2024-05-11,2024-05-13,470.56,4,0.05,173.43,South
ORD100032,CUST1459,Books,Textbook,2024-02-16,2024-02-18,154.86,3,0.0,105.02,East
ORD100033,CUST1313,Clothing,T-Shirt,2024-07-09,2024-07-13,31.36,1,0.0,11.94,North
ORD100034,CUST1021,Home & Kitchen,Vacuum,2024-10-08,2024-10-10,530.1,3,0.05,218.08,West
ORD100035,CUST1252,Clothing,T-Shirt,2024-03-19,2024-03-20,116.0,4,0.0,36.97,East
ORD100036,CUST1235,Electronics,Phone,2024-08-15,2024-08-16,1701.72,2,0.2,7.92,West
ORD100037,CUST1344,Electronics,Headphones,2024-02-01,2024-02-01,1941.18,3,0.15,12.26,West
ORD100038,CUST1048,Clothing,T-Shirt,2024-01-19,2024-01-21,194.24,2,0.1,63.0,West
ORD100039,CUST1474,Electronics,Laptop,2024-07-12,2024-07-16,487.64,2,0.0,152.88,North
ORD100040,CUST1058,Electronics,Laptop,2024-07-16,2024-07-19,785.94,3,0.15,58.13,Central
ORD100041,CUST1169,Books,Textbook,2024-08-20,2024-08-25,29.12,4,0.15,14.86,East
ORD100042,CUST1475,Beauty,Perfume,2024-09-22,2024-09-27,126.12,3,0.15,38.92,South
ORD100043,CUST1187,Books,Comics,2024-12-22,2024-12-25,35.79,1,0.0,19.19,Central
ORD100044,CUST1463,Beauty,Perfume,2024-07-07,2024-07-11,414.64,4,0.1,215.07,North
ORD100045,CUST1270,Electronics,Phone,2024-04-27,2024-04-28,2410.92,3,0.15,420.96,West
ORD100046,CUST1189,Beauty,Perfume,2024-10-17,2024-10-20,165.21,3,0.05,49.79,South
ORD100047,CUST1445,Electronics,Headphones,2024-04-08,2024-04-12,1144.21,1,0.1,106.59,East
ORD100048,CUST1174,Beauty,Perfume,2024-06-09,2024-06-13,438.55,5,0.05,247.9,Central
ORD100049,CUST1445,Beauty,Makeup Set,2024-01-29,2024-02-01,335.91,3,0.05,190.88,Central
ORD100050,CUST1050,Books,Novel,2024-01-10,2024-01-12,102.06,3,0.0,63.4,South
ORD100051,CUST1363,Beauty,Makeup Set,2024-12-17,2024-12-19,69.54,2,0.1,16.96,North
ORD100052,CUST1054,Home & Kitchen,Blender,2024-11-01,2024-11-04,86.13,3,0.0,43.49,East
ORD100053,CUST1243,Clothing,Jacket,2024-09-11,2024-09-14,330.84,3,0.05,98.59,South
ORD100054,CUST1319,Clothing,Jacket,2024-05-29,2024-06-02,67.77,3,0.0,38.26,West
ORD100055,CUST1130,Home & Kitchen,Blender,2024-03-04,2024-03-04,633.45,5,0.05,178.57,East
ORD100056,CUST1484,Electronics,Phone,2024-02-27,2024-02-29,643.64,1,0.0,220.88,Central
ORD100057,CUST1306,Home & Kitchen,Vacuum,2024-04-01,2024-04-05,458.5,2,0.1,79.72,South
ORD100058,CUST1134,Beauty,Shampoo,2024-07-19,2024-07-21,370.35,5,0.15,154.89,Central
ORD100059,CUST1020,Electronics,Headphones,2024-09-17,2024-09-21,207.84,1,0.0,53.67,Central
ORD100060,CUST1328,Books,Guide,2024-08-28,2024-08-31,25.89,1,0.0,16.29,Central
ORD100061,CUST1166,Beauty,Shampoo,2024-04-12,2024-04-14,303.92,4,0.0,121.63,North
ORD100062,CUST1273,Beauty,Perfume,2024-12-14,2024-12-17,116.53,1,0.2,16.8,Central
ORD100063,CUST1387,Beauty,Skincare Kit,2024-09-26,2024-10-03,177.36,2,0.05,98.54,West
ORD100064,CUST1088,Home & Kitchen,Lamp,2024-07-21,2024-07-24,369.66,1,0.05,72.71,West
ORD100065,CUST1315,Beauty,Perfume,2024-08-11,2024-08-16,185.3,2,0.0,81.95,East
ORD100066,CUST1013,Books,Guide,2024-06-02,2024-06-10,112.62,3,0.1,63.28,Central
ORD100067,CUST1241,Electronics,Camera,2024-03-31,2024-04-01,715.53,3,0.15,122.88,Central
ORD100068,CUST1264,Clothing,T-Shirt,2024-05-09,2024-05-11,203.34,2,0.15,80.06,South
ORD100069,CUST1345,Books,Novel,2024-10-03,2024-10-05,117.87,3,0.1,45.95,North
ORD100070,CUST1052,Electronics,Phone,2024-01-06,2024-01-07,2907.76,4,0.0,646.51,East
ORD100071,CUST1385,Home & Kitchen,Cookware Set,2024-02-12,2024-02-15,200.0,1,0.0,102.59,Central
ORD100072,CUST1339,Home & Kitchen,Lamp,2024-01-17,2024-01-21,860.92,4,0.0,320.99,South
ORD100073,CUST1091,Electronics,Phone,2024-01-15,2024-01-16,815.98,2,0.0,167.78,North
ORD100074,CUST1366,Home & Kitchen,Vacuum,2024-11-08,2024-11-15,1057.85,5,0.0,235.21,East
ORD100075,CUST1443,Books,Guide,2024-09-13,2024-09-19,95.22,6,0.0,51.98,East
ORD100076,CUST1454,Clothing,Jacket,2024-06-22,2024-06-24,243.5,2,0.0,65.11,Central
ORD100077,CUST1427,Electronics,Headphones,2024-02-05,2024-02-07,462.14,2,0.2,41.26,East
ORD100078,CUST1263,Electronics,Phone,2024-06-28,2024-06-29,555.55,5,0.1,128.74,South
ORD100079,CUST1430,Clothing,Jacket,2024-06-21,2024-06-21,136.52,2,0.15,20.9,East
ORD100080,CUST1034,Beauty,Skincare Kit,2024-03-04,2024-03-08,161.42,2,0.1,60.93,West
ORD100081,CUST1205,Electronics,Phone,2024-06-07,2024-06-10,2123.52,4,0.0,654.96,South
ORD100082,CUST1080,Home & Kitchen,Vacuum,2024-05-25,2024-05-29,349.47,3,0.1,97.29,North
ORD100083,CUST1419,Electronics,Laptop,2024-08-12,2024-08-17,674.22,1,0.0,132.12,North
ORD100084,CUST1049,Clothing,Jeans,2024-08-19,2024-08-20,110.64,2,0.1,23.11,Central
ORD100085,CUST1359,Books,Novel,2024-01-17,2024-01-18,168.93,3,0.0,97.8,Central
ORD100086,CUST1387,Books,Novel,2024-05-16,2024-05-18,111.5,2,0.3,33.45,West
ORD100087,CUST1001,Electronics,Laptop,2024-08-16,2024-08-22,3039.1,5,0.0,919.09,North
ORD100088,CUST1389,Clothing,Jacket,2024-07-02,2024-07-05,210.16,4,0.0,83.97,North
ORD100089,CUST1053,Electronics,Laptop,2024-11-08,2024-11-11,887.19,1,0.2,158.36,North
ORD100090,CUST1105,Clothing,T-Shirt,2024-08-28,2024-08-30,30.96,3,0.0,9.97,North
ORD100091,CUST1259,Home & Kitchen,Cookware Set,2024-02-29,2024-03-06,970.55,5,0.1,271.5,East
ORD100092,CUST1309,Electronics,Headphones,2024-01-26,2024-01-27,1230.66,3,0.1,307.4,South
ORD100093,CUST1476,Clothing,T-Shirt,2024-08-22,2024-08-25,276.96,2,0.15,114.28,South
ORD100094,CUST1190,Clothing,Sneakers,2024-01-10,2024-01-11,20.22,3,0.3,4.37,West
ORD100095,CUST1401,Beauty,Skincare Kit,2024-08-01,2024-08-03,205.71,3,0.3,3.65,East
ORD100096,CUST1217,Beauty,Makeup Set,2024-12-09,2024-12-13,270.54,3,0.0,146.96,North
ORD100097,CUST1043,Electronics,Camera,2024-07-29,2024-08-03,1174.34,2,0.15,292.81,North
ORD100098,CUST1161,Books,Guide,2024-05-21,2024-05-29,9.7,1,0.1,4.48,Central
ORD100099,CUST1201,Clothing,Jeans,2024-08-22,2024-08-24,584.04,4,0.1,229.25,Central
ORD100100,CUST1445,Clothing,Sneakers,2024-06-16,2024-06-18,560.77,7,0.0,329.56,West
ORD100101,CUST1483,Books,Guide,2024-07-18,2024-07-22,77.56,2,0.1,39.01,North
ORD100102,CUST1269,Beauty,Skincare Kit,2024-12-09,2024-12-09,96.63,3,0.3,15.42,West
ORD100103,CUST1350,Beauty,Skincare Kit,2024-05-20,2024-05-24,181.8,3,0.2,46.7,East
ORD100104,CUST1303,Home & Kitchen,Lamp,2024-12-16,2024-12-19,528.69,3,0.05,198.37,South
ORD100105,CUST1270,Clothing,Jacket,2024-11-26,2024-12-02,47.58,3,0.0,21.1,North
ORD100106,CUST1455,Books,Novel,2024-03-12,2024-03-14,32.52,3,0.0,13.34,East
ORD100107,CUST1461,Clothing,Sneakers,2024-01-26,2024-01-28,252.86,2,0.15,80.39,North
ORD100108,CUST1214,Home & Kitchen,Lamp,2024-02-06,2024-02-09,510.05,5,0.1,183.42,Central
ORD100109,CUST1251,Clothing,Jacket,2024-01-07,2024-01-13,133.08,4,0.05,61.86,West
ORD100110,CUST1189,Home & Kitchen,Lamp,2024-02-04,2024-02-04,205.93,1,0.0,80.27,Central
ORD100111,CUST1295,Electronics,Camera,2024-09-06,2024-09-10,2774.43,3,0.05,477.6,South
ORD100112,CUST1212,Electronics,Phone,2024-01-26,2024-01-30,251.16,3,0.05,84.94,Central
ORD100113,CUST1207,Beauty,Perfume,2024-04-26,2024-04-29,285.32,4,0.2,57.57,North
ORD100114,CUST1236,Electronics,Phone,2024-11-04,2024-11-08,303.72,2,0.1,104.38,Central
ORD100115,CUST1337,Home & Kitchen,Cookware Set,2024-01-09,2024-01-13,66.87,3,0.0,26.97,North
ORD100116,CUST1366,Electronics,Headphones,2024-10-24,2024-10-28,72.77,1,0.05,12.17,South
ORD100117,CUST1052,Electronics,Phone,2024-04-12,2024-04-13,4010.64,4,0.0,1397.23,Central
ORD100118,CUST1279,Electronics,Phone,2024-02-13,2024-02-18,601.56,4,0.3,-11.5,West
ORD100119,CUST1409,Electronics,Headphones,2024-09-11,2024-09-17,191.19,3,0.0,74.28,West
ORD100120,CUST1216,Beauty,Makeup Set,2024-08-17,2024-08-17,55.36,1,0.05,18.84,West
ORD100121,CUST1251,Clothing,Sneakers,2024-11-16,2024-11-20,509.52,4,0.0,296.39,Central
ORD100122,CUST1187,Beauty,Shampoo,2024-09-25,2024-09-27,105.54,3,0.1,26.56,Central
ORD100123,CUST1379,Home & Kitchen,Blender,2024-10-20,2024-10-22,866.55,5,0.1,329.84,Central
ORD100124,CUST1492,Clothing,Jacket,2024-04-12,2024-04-15,21.58,2,0.1,4.18,North
ORD100125,CUST1040,Home & Kitchen,Cookware Set,2024-03-05,2024-03-06,736.16,4,0.0,314.06,South
ORD100126,CUST1156,Home & Kitchen,Blender,2024-09-30,2024-10-01,703.26,3,0.0,208.91,West
ORD100127,CUST1014,Books,Comics,2024-10-21,2024-10-26,182.0,5,0.0,109.97,North
ORD100128,CUST1300,Clothing,Jacket,2024-12-27,2024-12-27,53.2,1,0.1,9.73,West
ORD100129,CUST1064,Clothing,Jacket,2024-05-30,2024-06-01,152.25,3,0.0,84.6,North
ORD100130,CUST1344,Beauty,Skincare Kit,2024-05-15,2024-05-18,34.52,2,0.05,18.55,Central
ORD100131,CUST1326,Beauty,Skincare Kit,2024-10-10,2024-10-12,94.36,2,0.15,30.9,West
ORD100132,CUST1008,Beauty,Shampoo,2024-05-04,2024-05-06,32.88,2,0.2,13.85,Central
ORD100133,CUST1343,Clothing,Sneakers,2024-12-05,2024-12-06,116.16,1,0.05,55.92,West
ORD100134,CUST1128,Books,Comics,2024-11-09,2024-11-10,116.3,2,0.05,42.66,East
ORD100135,CUST1491,Clothing,Jacket,2024-06-05,2024-06-08,436.98,3,0.0,112.84,North
ORD100136,CUST1135,Clothing,Jeans,2024-10-01,2024-10-02,521.76,4,0.1,192.17,East
ORD100137,CUST1471,Electronics,Camera,2024-10-02,2024-10-04,4349.64,6,0.15,100.1,North
ORD100138,CUST1062,Home & Kitchen,Vacuum,2024-02-07,2024-02-07,1130.96,4,0.0,406.37,South
ORD100139,CUST1138,Electronics,Camera,2024-11-25,2024-11-26,1048.17,3,0.05,334.45,West
ORD100140,CUST1498,Clothing,Sneakers,2024-07-03,2024-07-10,482.3,5,0.15,98.47,South
ORD100141,CUST1080,Beauty,Makeup Set,2024-10-28,2024-11-03,229.6,4,0.2,50.37,South
ORD100142,CUST1391,Electronics,Headphones,2024-04-26,2024-04-27,1750.8,3,0.0,268.33,North
ORD100143,CUST1162,Electronics,Laptop,2024-11-22,2024-11-23,1823.5,2,0.05,584.4,East
ORD100144,CUST1418,Electronics,Laptop,2024-05-22,2024-05-26,690.96,2,0.0,171.62,Central
ORD100145,CUST1288,Beauty,Shampoo,2024-01-04,2024-01-09,207.85,5,0.0,131.32,North
ORD100146,CUST1378,Home & Kitchen,Vacuum,2024-11-26,2024-12-01,2222.76,6,0.2,689.56,Central
ORD100147,CUST1260,Clothing,Jeans,2024-02-03,2024-02-03,26.3,2,0.15,11.8,South
ORD100148,CUST1489,Books,Comics,2024-04-26,2024-05-01,126.84,4,0.15,31.73,Central
ORD100149,CUST1230,Books,Textbook,2024-12-12,2024-12-15,165.6,3,0.0,76.06,East
ORD100150,CUST1040,Clothing,Jeans,2024-12-12,2024-12-19,187.0,2,0.15,32.66,North
ORD100151,CUST1027,Home & Kitchen,Lamp,2024-07-28,2024-07-31,666.57,3,0.05,214.36,East
ORD100152,CUST1134,Books,Novel,2024-08-18,2024-08-21,37.48,2,0.0,22.86,East
ORD100153,CUST1200,Home & Kitchen,Blender,2024-06-12,2024-06-15,427.68,3,0.05,191.2,North
ORD100154,CUST1327,Electronics,Camera,2024-04-17,2024-04-21,2047.88,2,0.0,746.65,East
ORD100155,CUST1267,Beauty,Makeup Set,2024-04-29,2024-05-03,69.31,1,0.15,25.53,West
ORD100156,CUST1417,Home & Kitchen,Lamp,2024-09-02,2024-09-05,629.34,3,0.05,148.08,West
ORD100157,CUST1032,Clothing,Jeans,2024-10-01,2024-10-04,38.88,2,0.0,15.98,West
ORD100158,CUST1047,Clothing,T-Shirt,2024-10-15,2024-10-18,21.96,3,0.0,12.58,Central
ORD100159,CUST1406,Electronics,Camera,2024-10-15,2024-10-17,4627.16,4,0.0,2057.2,East
ORD100160,CUST1061,Electronics,Laptop,2024-02-03,2024-02-07,458.61,1,0.0,192.3,North
ORD100161,CUST1215,Books,Guide,2024-06-29,2024-06-30,38.18,1,0.05,20.11,North
ORD100162,CUST1292,Electronics,Phone,2024-01-22,2024-01-22,314.58,3,0.15,6.3,Central
ORD100163,CUST1098,Clothing,Sneakers,2024-07-19,2024-07-26,208.1,2,0.0,78.43,North
ORD100164,CUST1171,Home & Kitchen,Lamp,2024-06-10,2024-06-11,1120.71,3,0.0,301.88,West
